Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS/CE,PrecoRS/RS,PrecoCE/CE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,,14,14,,7,18,20
M13499,(cad.tranç.32fus.pol.bicol),,08/07/2026,,,PAR,100cm,"1,15","1,31","1,33",,,,,,,,,,,,,,
M13514,(cad.tranç.32fu.pol.bic.redon),,15/06/2021,,,PAR,100cm,"0,99","1,1",,,,,,,,,,,,,,,
M13518,(cad.tranç.32fu.pol.bicolor),,15/06/2021,,,PAR,100cm,"0,95","1,06",,,,,,,,,,,,,,,
M13521,(cad.tranç.32f. Pol.3fio esp.),,15/06/2021,,,METRO,1000mm,"0,5","0,55",,,,,,,,,,,,,,,
M13521,(cad.tranç.32f. Pol.3fio esp.),,15/06/2021,,,PAR,100cm,"1,02","1,13",,,,,,,,,,,,,,,
M13560,(cad.tranç.32fu.pol. 2/3fios p/espul),,19/05/2022,,,PAR,100cm,"1,08","1,2",,,,,,,,,,,,,,,
M13573,(cad.tranç.32fus.pol.c/lurex),,11/11/2020,,,PAR,100cm,"1,42","1,58",,,,,,,,,,,,,,,
M13575,(cad.tranç.32fus.pol.c/lurex),,15/06/2021,,,PAR,100cm,"1,26","1,4",,,,,,,,,,,,,,,
M13579,(cad.tranç.32fu.pol.),,15/06/2021,,,PAR,100cm,"0,99","1,1",,,,,,,,,,,,,,,
M13591,(cad.tran.32fu.pol.preto c/lurex),,15/06/2021,,,PAR,100cm,"0,7","0,78",,,,,,,,,,,,,,,
M13591,(cad.tran.32fu.pol.cores c/lurex),,15/06/2021,,,PAR,100cm,"0,98","1,09",,,,,,,,,,,,,,,
M13592,(cad.tranç.32fu.pol. 6mm),,15/06/2021,,,PAR,100cm,"0,87","0,97",,,,,,,,,,,,,,,
M13633,(cad.tranç.32fus.pol. c/nylon),,11/02/2021,,,PAR,100cm,"1,35","1,5",,,,,,,,,,,,,,,
M13694,(cad.tranç.32fus.pol.3fios esp.multicor),,12/11/2021,,,PAR,100cm,"1,66","1,85",,,,,,,,,,,,,,,
M13745,(cad.tranç.32fu.pol.2 e 3fios pol.p/espula),,08/11/2023,10/11/2023,,PAR,100cm,"1,32","1,46",,,,,,,,,,,,,,,
M13745,(cad.tranç.32fu.pol.2 e 3fios pol.p/espula),,08/11/2023,,(desconto especial concedido) ,PAR,100cm,"0,98","1,09",,,,,,,,,,,,,,,
M15009,(atc.tranç.48fuso),,15/06/2021,,,PAR,100cm,"1,57","1,74",,,,,,,,,,,,,,,
M15024,(cad.tran.48f.pol/lurex),,15/06/2021,,,PAR,100cm,"1,37","1,52",,,,,,,,,,,,,,,
