Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22
,,,,,,,,,,,,,,,
M32164(fita pol.c/goma pré-encolhimento),,,12/01/2022,,,metro,10 MM,"0,64","0,62","0,62",,,"0,72","0,7",
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,10 MM,"0,72","0,70","0,70",,,,,
,,,,,,,,,,,,,,,
M32164(fita pol.c/goma pré-encolhimento),,,12/01/2022,,,metro,12 MM,"0,77","0,75","0,75",,,"0,86","0,83",
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,12 MM,"0,86","0,83","0,83",,,,,
,,,,,,,,,,,,,,,
M32164(fita pol.c/goma pré-encolhimento),,,12/01/2022,,,metro,15 MM,"0,96","0,93","0,93",,,"1,08","1,05",
M32164(fita pol.c/goma pré-encolhimento),,,01/11/2022,,,metro,15 MM,"1,08","1,05","1,05",,,,,
,,,,,,,,,,,,,,,
M32166(fita poliéster),,,01/03/2021,,,metro,12 MM,"0,51","0,49","0,49",,,,,
,,,,,,,,,,,,,,,
M32166(fita tear poliéster c/goma),,,01/03/2021,,,metro,12 MM,"0,61","0,59","0,59",,,,,
,,,,,,,,,,,,,,,
M32186(fita tear pol.c/frizo 3mm cores c/goma Adidas),,,14/10/2022,,,metro,18 MM,"1,10","1,07","1,07",,,,,
,,,,,,,,,,,,,,,
M32188fita tear pol.cores),,,12/01/2022,,,metro,6 MM,"0,48","0,47","0,47",,,,,
,,,,,,,,,,,,,,,
M32189(fita tear pol. Cores),,,12/01/2022,,,metro,18 MM,"0,97","0,94","0,94",,,,,
,,,,,,,,,,,,,,,
M32195(fita tear pol.bicolor c/refletivo 3mm),,,10/06/2021,,,metro,15 MM,"1,88",,,,,,,
,,,,,,,,,,,,,,,
M32196(fita pol.tear tricolor),,,14/06/2021,,,metro,15 MM,"0,67","0,65","0,65",,,,,
,,,,,,,,,,,,,,,
M32202(fita tear pol.bicolor c/goma UMBRO),,,14/09/2022,,,metro,20 MM,"1,46","1,42","1,42",,,,,
,,,,,,,,,,,,,,,
M32207(fita tear pol. c/friso meio 2mm),,,13/09/2022,,,metro,15 MM,"1,13","1,10","1,10",,,,,
M32207(fita tear pol.c/friso meio 2mm C/GOMA),,,13/09/2022,,,metro,15 MM,"1,34","1,29","1,29",,,,,
M32207(fita tear pol.c/friso meio 2mm C/GOMA),(com desconto concedido 05/10/2022),,05/10/2022,,,metro,15 MM,"1,23","1,19","1,19",,,,,
,,,,,,,,,,,,,,,
M32209(Fita tear pol.bicolor c/friso 2mm FILA),,,15/12/2021,,,metro,15 MM,"0,70","0,68","0,68",,,,,
,,,,,,,,,,,,,,,
M32211(fita tear.pol.FILA c/dois frizo nas bordas),,,10/03/2022,,,metro,17 MM,"0,86","0,83","0,83",,,,,
,,,10/03/2022,,,metro,10 MM,"0,54","0,52","0,52",,,,,
,,,,,,,,,,,,,,,
M32211(fita tear pol.Fila c/dois frizo bordas c/goma),,,10/03/2022,,,metro,10 MM,"0,70","0,68","0,68",,,,,
,,,,,,,,,,,,,,,
M32213(fita tear pol.c/cordão passador c/goma),,,05/04/2022,,,metro,10 MM,"2,51","2,44","2,44",,,,,
,,,,,,,,,,,,,,,
M32222(fita tear pol. Fila c/cordão passador M9091 c/goma),,,01/11/2022,,,metro,10 MM,"2,78","2,70","2,70",,,,,
,,,,,,,,,,,,,,,
M32215(fita tear pol.cores três listras),,,06/05/2022,,,metro,20 MM,"1,05","1,02","1,02",,,,,
M32227(fita tear pol.Fila c/cordão passador M9064 c/goma),,,01/11/2022,,,metro,19 MM,"2,24","2,18","2,18",,,,,
M32216(fita tear pol.bicolor FILA),,,22/06/2022,,,metro,10 MM,"0,64","0,62","0,62",,,,,
,,,,,,,,,,,,,,,
